group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
input-generator,100,,,,45071542.0,ns,10
input-generator,100,,,,73275666.0,ns,10
input-generator,100,,,,41804208.0,ns,10
input-generator,100,,,,41144125.0,ns,10
input-generator,100,,,,42597083.0,ns,10
input-generator,100,,,,44369208.0,ns,10
input-generator,100,,,,45501625.0,ns,10
input-generator,100,,,,46173917.0,ns,10
input-generator,100,,,,45918292.0,ns,10
input-generator,100,,,,45516292.0,ns,10
input-generator,100,,,,44566208.0,ns,10
input-generator,100,,,,45153333.0,ns,10
input-generator,100,,,,74949459.0,ns,10
input-generator,100,,,,40525708.0,ns,10
input-generator,100,,,,40981084.0,ns,10
input-generator,100,,,,41887750.0,ns,10
input-generator,100,,,,46010500.0,ns,10
input-generator,100,,,,46751583.0,ns,10
input-generator,100,,,,45678167.0,ns,10
input-generator,100,,,,45079208.0,ns,10
input-generator,100,,,,45344708.0,ns,10
input-generator,100,,,,47552875.0,ns,10
input-generator,100,,,,78330750.0,ns,10
input-generator,100,,,,41411500.0,ns,10
input-generator,100,,,,43707625.0,ns,10
input-generator,100,,,,42649334.0,ns,10
input-generator,100,,,,42334958.0,ns,10
input-generator,100,,,,44661833.0,ns,10
input-generator,100,,,,45577458.0,ns,10
input-generator,100,,,,45970334.0,ns,10
input-generator,100,,,,45177584.0,ns,10
input-generator,100,,,,45259958.0,ns,10
input-generator,100,,,,45010875.0,ns,10
input-generator,100,,,,79843000.0,ns,10
input-generator,100,,,,41660542.0,ns,10
input-generator,100,,,,41048542.0,ns,10
input-generator,100,,,,42081083.0,ns,10
input-generator,100,,,,41749208.0,ns,10
input-generator,100,,,,44414666.0,ns,10
input-generator,100,,,,45007667.0,ns,10
input-generator,100,,,,45330292.0,ns,10
input-generator,100,,,,44957542.0,ns,10
input-generator,100,,,,45390709.0,ns,10
input-generator,100,,,,44543042.0,ns,10
input-generator,100,,,,75388333.0,ns,10
input-generator,100,,,,42188542.0,ns,10
input-generator,100,,,,41850500.0,ns,10
input-generator,100,,,,42214709.0,ns,10
input-generator,100,,,,43398833.0,ns,10
input-generator,100,,,,44639375.0,ns,10
input-generator,100,,,,45225375.0,ns,10
input-generator,100,,,,44839792.0,ns,10
input-generator,100,,,,43276167.0,ns,10
input-generator,100,,,,41863917.0,ns,10
input-generator,100,,,,44737917.0,ns,10
input-generator,100,,,,74446542.0,ns,10
input-generator,100,,,,40579709.0,ns,10
input-generator,100,,,,41551500.0,ns,10
input-generator,100,,,,42377208.0,ns,10
input-generator,100,,,,42973000.0,ns,10
input-generator,100,,,,44003250.0,ns,10
input-generator,100,,,,43322750.0,ns,10
input-generator,100,,,,42812959.0,ns,10
input-generator,100,,,,43274958.0,ns,10
input-generator,100,,,,42649292.0,ns,10
input-generator,100,,,,42861958.0,ns,10
input-generator,100,,,,75958958.0,ns,10
input-generator,100,,,,39451375.0,ns,10
input-generator,100,,,,41161917.0,ns,10
input-generator,100,,,,44118791.0,ns,10
input-generator,100,,,,47249209.0,ns,10
input-generator,100,,,,48089333.0,ns,10
input-generator,100,,,,46194792.0,ns,10
input-generator,100,,,,45475167.0,ns,10
input-generator,100,,,,45509541.0,ns,10
input-generator,100,,,,45793167.0,ns,10
input-generator,100,,,,80305750.0,ns,10
input-generator,100,,,,43220625.0,ns,10
input-generator,100,,,,42020958.0,ns,10
input-generator,100,,,,43510958.0,ns,10
input-generator,100,,,,43740750.0,ns,10
input-generator,100,,,,45838041.0,ns,10
input-generator,100,,,,45531875.0,ns,10
input-generator,100,,,,46594042.0,ns,10
input-generator,100,,,,45515000.0,ns,10
input-generator,100,,,,46137625.0,ns,10
input-generator,100,,,,45877583.0,ns,10
input-generator,100,,,,79853334.0,ns,10
input-generator,100,,,,40431750.0,ns,10
input-generator,100,,,,41713459.0,ns,10
input-generator,100,,,,42610666.0,ns,10
input-generator,100,,,,42351125.0,ns,10
input-generator,100,,,,45766417.0,ns,10
input-generator,100,,,,46239417.0,ns,10
input-generator,100,,,,45427833.0,ns,10
input-generator,100,,,,48763667.0,ns,10
input-generator,100,,,,44921709.0,ns,10
input-generator,100,,,,46380583.0,ns,10
input-generator,100,,,,79271459.0,ns,10
input-generator,100,,,,41873291.0,ns,10
